epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,75.6842,0.90087,1.13433,0.96922,0.00668,1,0.74729,0.44606,0.90345,2.96713,1.01199,0.000370447,0.000370447,0.000370447
70,76.7507,0.99191,1.1145,0.93575,0.00668,1,0.74729,0.44606,0.90345,2.96713,1.01199,0.000364508,0.000364508,0.000364508
71,77.801,0.81606,0.98033,0.84807,0.00668,1,0.74729,0.44606,0.90345,2.96713,1.01199,0.000358238,0.000358238,0.000358238
72,78.9039,0.61699,1.33994,0.98057,0.00667,1,0.74744,0.5315,0.96152,2.82429,0.9869,0.000351639,0.000351639,0.000351639
73,79.9849,0.78473,1.3852,0.94009,0.00667,1,0.74744,0.5315,0.96152,2.82429,0.9869,0.000344709,0.000344709,0.000344709
74,81.0342,0.98959,1.27875,0.93382,0.00667,1,0.74744,0.5315,0.96152,2.82429,0.9869,0.000337449,0.000337449,0.000337449
75,82.1349,0.68252,1.16617,0.87734,1,0.48135,0.7473,0.49887,0.97886,2.78241,1.00577,0.000329859,0.000329859,0.000329859
76,83.2004,0.89839,1.0537,0.88726,1,0.48135,0.7473,0.49887,0.97886,2.78241,1.00577,0.000321939,0.000321939,0.000321939
77,84.2497,0.74365,1.72461,0.98284,1,0.48135,0.7473,0.49887,0.97886,2.78241,1.00577,0.000313689,0.000313689,0.000313689
78,85.3339,0.81813,1.45285,1.02098,1,0.4337,0.75176,0.48911,0.96385,2.72966,0.9895,0.000305109,0.000305109,0.000305109
79,86.4015,0.77961,1.24382,1.04142,1,0.4337,0.75176,0.48911,0.96385,2.72966,0.9895,0.000296199,0.000296199,0.000296199
80,87.4668,0.78453,1.03257,0.89101,1,0.4337,0.75176,0.48911,0.96385,2.72966,0.9895,0.000286959,0.000286959,0.000286959
81,88.5846,0.72046,1.5269,0.95807,0.76905,0.75,0.845,0.54323,0.91051,2.68162,1.03369,0.000277389,0.000277389,0.000277389
82,89.6346,0.6445,0.94923,0.94059,0.76905,0.75,0.845,0.54323,0.91051,2.68162,1.03369,0.000267488,0.000267488,0.000267488
83,90.6833,0.54991,2.53514,1.00448,0.76905,0.75,0.845,0.54323,0.91051,2.68162,1.03369,0.000257258,0.000257258,0.000257258
84,91.7939,0.66543,0.93631,0.85643,0.00667,1,0.995,0.69866,0.90621,2.64323,1.04414,0.000246698,0.000246698,0.000246698
85,92.8521,0.94635,1.46325,0.96482,0.00667,1,0.995,0.69866,0.90621,2.64323,1.04414,0.000235807,0.000235807,0.000235807
86,93.9349,0.67642,1.31757,0.94182,0.00667,1,0.995,0.69866,0.90621,2.64323,1.04414,0.000224587,0.000224587,0.000224587
87,94.9678,0.54466,1.05065,0.92354,0.00667,1,0.995,0.69866,0.90621,2.64323,1.04414,0.000213036,0.000213036,0.000213036
88,96.1204,0.74514,1.31824,0.90707,1,0.97382,0.995,0.79579,0.89529,2.5275,1.06505,0.000201155,0.000201155,0.000201155
89,97.1835,0.67276,1.08543,0.92714,1,0.97382,0.995,0.79579,0.89529,2.5275,1.06505,0.000188944,0.000188944,0.000188944
90,98.2499,0.6592,1.17371,0.84088,1,0.97382,0.995,0.79579,0.89529,2.5275,1.06505,0.000176404,0.000176404,0.000176404
91,99.2844,0.74985,1.30585,0.90652,1,0.97382,0.995,0.79579,0.89529,2.5275,1.06505,0.000163533,0.000163533,0.000163533
92,100.417,0.67741,1.34387,1.05488,1,0.86965,0.995,0.75438,0.9059,2.37174,1.07234,0.000150332,0.000150332,0.000150332
93,101.509,0.62542,1.16868,1.00931,1,0.86965,0.995,0.75438,0.9059,2.37174,1.07234,0.000136801,0.000136801,0.000136801
94,102.567,0.75824,1.544,1.0335,1,0.86965,0.995,0.75438,0.9059,2.37174,1.07234,0.00012294,0.00012294,0.00012294
95,103.601,0.75265,1.37025,1.14493,1,0.86965,0.995,0.75438,0.9059,2.37174,1.07234,0.000108748,0.000108748,0.000108748
96,104.685,0.72225,1.24428,0.89417,1,0.89452,0.995,0.79583,0.87804,2.26755,1.06957,9.42272e-05,9.42272e-05,9.42272e-05
97,105.717,0.79529,1.54216,1.155,1,0.89452,0.995,0.79583,0.87804,2.26755,1.06957,7.93759e-05,7.93759e-05,7.93759e-05
98,106.801,0.65991,1.32098,1.04921,1,0.89452,0.995,0.79583,0.87804,2.26755,1.06957,6.41945e-05,6.41945e-05,6.41945e-05
99,107.851,0.71504,1.17667,0.92438,1,0.89452,0.995,0.79583,0.87804,2.26755,1.06957,4.86831e-05,4.86831e-05,4.86831e-05
100,109.165,0.74475,1.29883,1.08698,0.96161,0.92437,0.995,0.79583,0.88086,2.11622,1.07596,3.28416e-05,3.28416e-05,3.28416e-05
