epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,170.45,0.71159,0.4952,0.83758,0.98208,1,0.9862,0.66984,1.00018,0.52479,0.88669,0.00051104,0.00051104,0.00051104
96,172.156,0.68196,0.47031,0.84423,0.98223,1,0.98567,0.67539,0.98834,0.5171,0.88363,0.0004952,0.0004952,0.0004952
97,173.789,0.75071,0.65507,0.90764,0.9821,1,0.98487,0.68927,0.96213,0.51529,0.87684,0.00047936,0.00047936,0.00047936
98,175.467,0.68753,0.51329,0.84155,0.98447,0.99837,0.98541,0.69811,0.92646,0.51281,0.86719,0.00046352,0.00046352,0.00046352
99,177.138,0.71062,0.46099,0.86486,0.9845,0.99998,0.98654,0.69813,0.9324,0.51068,0.86896,0.00044768,0.00044768,0.00044768
100,178.787,0.70261,0.46021,0.86916,0.98445,0.99711,0.98721,0.68456,0.97465,0.51487,0.88082,0.00043184,0.00043184,0.00043184
101,180.414,0.72892,0.52641,0.83337,0.97323,0.99213,0.98755,0.67809,1.00435,0.51432,0.88972,0.000416,0.000416,0.000416
102,182.081,0.62936,0.42977,0.8404,0.97171,0.99213,0.98813,0.68542,1.00378,0.51222,0.8911,0.00040016,0.00040016,0.00040016
103,183.711,0.70015,0.4899,0.84316,0.96131,1,0.9884,0.67962,1.00094,0.5072,0.88991,0.00038432,0.00038432,0.00038432
104,185.358,0.64413,0.44244,0.84974,0.9614,1,0.98834,0.68249,1.00161,0.51012,0.89098,0.00036848,0.00036848,0.00036848
105,187.044,0.70633,0.47847,0.85612,0.9613,1,0.98912,0.68929,0.99031,0.50477,0.888,0.00035264,0.00035264,0.00035264
106,188.685,0.71199,0.49632,0.8373,0.97662,0.98687,0.98986,0.68723,0.99222,0.50971,0.88775,0.0003368,0.0003368,0.0003368
107,190.335,0.69396,0.4745,0.84459,0.98418,0.97975,0.99014,0.68413,1.01188,0.5156,0.89245,0.00032096,0.00032096,0.00032096
108,192.159,0.66693,0.43159,0.83833,0.98445,0.99699,0.99059,0.69661,0.99801,0.52005,0.8867,0.00030512,0.00030512,0.00030512
109,193.958,0.69393,0.45872,0.83912,0.98448,0.99872,0.99068,0.68798,0.98906,0.51849,0.88348,0.00028928,0.00028928,0.00028928
110,195.619,0.70647,0.49869,0.84532,0.98381,1,0.99081,0.69542,0.9856,0.51145,0.88193,0.00027344,0.00027344,0.00027344
111,197.284,0.65695,0.43776,0.84258,0.98304,1,0.9906,0.70313,0.97294,0.50281,0.88045,0.0002576,0.0002576,0.0002576
112,199.066,0.61175,0.43794,0.8536,0.98265,1,0.99024,0.70897,0.96943,0.50227,0.88198,0.00024176,0.00024176,0.00024176
113,200.726,0.62106,0.43917,0.8415,0.98221,1,0.9906,0.7143,0.95718,0.4991,0.87998,0.00022592,0.00022592,0.00022592
114,202.628,0.59253,0.41785,0.8259,0.98213,1,0.99068,0.71633,0.9596,0.49717,0.88134,0.00021008,0.00021008,0.00021008
115,204.701,0.65674,0.45758,0.82696,0.98197,1,0.99102,0.71422,0.96274,0.49729,0.88398,0.00019424,0.00019424,0.00019424
116,243.318,0.58886,0.483,0.82926,0.98211,1,0.99119,0.70554,0.98075,0.49674,0.88918,0.0001784,0.0001784,0.0001784
117,245.245,0.5905,0.65181,0.88476,0.98117,1,0.99171,0.69401,0.99494,0.50127,0.89466,0.00016256,0.00016256,0.00016256
118,247.144,0.56977,0.4425,0.84189,0.97425,1,0.99162,0.69452,0.99268,0.49584,0.8951,0.00014672,0.00014672,0.00014672
119,248.834,0.60446,0.43759,0.83113,0.97924,1,0.99162,0.70027,0.97574,0.4959,0.89106,0.00013088,0.00013088,0.00013088
120,250.51,0.61639,0.45481,0.85917,0.98361,1,0.99196,0.6988,0.96161,0.49648,0.88767,0.00011504,0.00011504,0.00011504
121,252.254,0.61177,0.49482,0.82738,0.98187,1,0.99171,0.70082,0.95372,0.49968,0.88593,9.92e-05,9.92e-05,9.92e-05
122,254.044,0.56202,0.42503,0.83959,0.98446,0.9977,0.99162,0.70167,0.95369,0.50218,0.8841,8.336e-05,8.336e-05,8.336e-05
123,255.842,0.65366,0.4484,0.88606,0.98445,0.99716,0.99162,0.69779,0.95312,0.50273,0.88285,6.752e-05,6.752e-05,6.752e-05
124,257.552,0.69375,0.51461,0.83199,0.98445,0.99675,0.99171,0.69765,0.95863,0.50305,0.88361,5.168e-05,5.168e-05,5.168e-05
125,259.276,0.67068,0.44378,0.84286,0.98445,0.99674,0.99135,0.69668,0.9564,0.50157,0.88261,3.584e-05,3.584e-05,3.584e-05
